id,lat,lon,user,uid,version,changeset,timestamp
21702193,52.0180158,4.3588123,nimapper,36080,8,12491403,2012-07-25T20:08:45Z
25315548,52.0257238,4.3807716,PTT,13136,4,33380762,2015-08-17T01:57:18Z
26362627,51.9639002,4.3934492,datalogg,105512,3,6103961,2010-10-19T23:08:12Z
30016666,51.9865846,4.360502,CeesW,476789,3,10344770,2012-01-09T19:02:13Z
34046630,51.9207458,4.2709605,OSMF Redaction Account,722137,3,12261844,2012-07-17T09:34:02Z
44315242,51.9017673,4.2513715,AnkEric,242798,4,35431214,2015-11-19T11:17:01Z
44316127,51.9019314,4.2488536,brandmeester,607691,4,36919324,2016-01-31T15:52:19Z
44316918,51.9021,4.3846,AND,12946,2,3437007,2009-12-23T19:16:37Z
44318071,51.9026685,4.2190836,milovanderlinden,7702,5,10441391,2012-01-19T21:21:20Z
44318811,51.9026546,4.257444,aarnout,468449,3,9337658,2011-09-18T21:17:52Z
44319611,51.9028702,4.3368525,stroet43,36790,3,10167208,2011-12-20T21:21:32Z
44320373,51.9028736,4.2313186,Sander H,327477,5,26449449,2014-10-30T21:44:45Z
44321080,51.9032526,4.2616582,marenko,149298,4,9357513,2011-09-21T06:49:06Z
44321822,51.9034792,4.3186263,stroet43,36790,3,10167208,2011-12-20T21:21:32Z
44322954,51.9036889,4.2329474,aarnout,468449,3,9338391,2011-09-18T23:47:43Z
44323776,51.9038848,4.3218954,It's so funny,191979,3,9325991,2011-09-17T17:42:04Z
44324548,51.9041604,4.3813757,eggie,334075,3,10858871,2012-03-03T15:31:20Z
44325391,51.9043,4.3444,AND,12946,2,3437865,2009-12-23T21:22:55Z
44326215,51.9045692,4.3265591,CeesW,476789,4,10763972,2012-02-22T22:13:50Z
44327130,51.9046969,4.3305514,textlijn,161542,3,4897196,2010-06-03T23:57:45Z
44327969,51.9049,4.3079,AND,12946,2,3437865,2009-12-23T21:22:43Z
44328806,51.9048601,4.3517903,BugBlue,26230,3,6729867,2010-12-21T20:30:16Z
44329669,51.9054394,4.3185306,AnkEric,242798,4,37962677,2016-03-20T19:48:27Z
44330947,51.9056323,4.2113276,GercoKees,12527,4,9713231,2011-11-01T14:54:23Z
44331890,51.9057992,4.2317896,Sander H_BAG,1989776,4,21518784,2014-04-05T18:17:18Z
44332794,51.9060425,4.3150761,CeesW,476789,4,9585905,2011-10-17T20:15:08Z
44334142,51.9063406,4.2436599,aarnout,468449,3,9337658,2011-09-18T22:39:26Z
44334989,51.9065253,4.275043,nimapper,36080,3,10093866,2011-12-11T20:29:58Z
44335804,51.9071128,4.2213806,eggie,334075,4,25417920,2014-09-13T19:14:05Z
44336226,51.9067726,4.4031036,textlijn,161542,4,4878992,2010-06-01T21:46:00Z
44336955,51.9072348,4.359196,eggie,334075,3,10827918,2012-02-29T13:38:09Z
44337756,51.9071692,4.3191198,textlijn,161542,3,4897196,2010-06-03T23:58:08Z
44338601,51.9074066,4.3961222,Jeroen Muris,203114,3,13157315,2012-09-18T14:54:58Z
44339533,51.9076,4.3091,AND,12946,2,3437865,2009-12-23T21:22:04Z
44340348,51.9078235,4.2452962,aarnout,468449,3,9455192,2011-10-02T20:59:21Z
44341254,51.9080459,4.2350168,aarnout,468449,4,9356785,2011-09-21T01:25:17Z
44341740,51.9081,4.3864,Jeroen Muris,203114,3,5227684,2010-07-15T15:24:32Z
44342621,51.9083251,4.3974086,Jeroen Muris,203114,3,13157315,2012-09-18T14:54:59Z
44343575,51.9084858,4.3203027,OliverH,5504,4,13741612,2012-11-04T01:29:08Z
44344040,51.9085791,4.3622968,Sander H,327477,3,28870026,2015-02-15T19:02:19Z
44344934,51.9088649,4.2420092,aarnout,468449,3,9542995,2011-10-12T21:36:13Z
44345405,51.9089,4.2999,AND,12946,2,3437865,2009-12-23T21:22:12Z
44346008,51.9089463,4.3577958,pieleric,352940,4,37282556,2016-02-18T08:52:35Z
44346989,51.9092,4.2299,AND,12946,2,3437633,2009-12-23T20:45:15Z
44347514,51.9093039,4.3300453,opani_BAG,1892873,3,21578748,2014-04-08T22:22:21Z
44348106,51.9094825,4.3430507,textlijn,161542,3,4897250,2010-06-04T00:15:32Z
44348591,51.909591,4.3518529,AnkEric,242798,9,32829006,2015-07-23T15:21:34Z
44349318,51.9098337,4.2209704,GercoKees,12527,3,9713231,2011-11-01T14:54:23Z
44349836,51.9099,4.338,AND,12946,2,3437865,2009-12-23T21:21:37Z
44350701,51.9101,4.2659,AND,12946,2,3437838,2009-12-23T21:15:28Z
44351231,51.9102135,4.3662952,BikePC,301557,3,15682929,2013-04-10T20:57:46Z
44352158,51.9103933,4.2347272,aarnout,468449,4,9551441,2011-10-13T21:44:37Z
44352670,51.9104289,4.3439777,nimapper,36080,4,11096074,2012-03-25T15:07:57Z
44353163,51.9106444,4.3865907,Jeroen Muris,203114,4,9278546,2011-09-12T09:26:37Z
44354020,51.9108658,4.3421763,textlijn,161542,3,4897250,2010-06-04T00:16:23Z
44354837,51.9109992,4.3371983,brandmeester,607691,6,28073644,2015-01-11T21:16:59Z
44355677,51.9111741,4.2388367,eggie,334075,4,10861571,2012-03-03T20:00:38Z
44356641,51.9113369,4.2179321,Sander H,327477,4,20201719,2014-01-25T22:31:31Z
44357516,51.9115819,4.2119467,AND_fixbot,211771,3,3449669,2009-12-25T18:31:59Z
44358089,51.9117,4.4081,AND,12946,2,3437007,2009-12-23T19:19:47Z
44358893,51.9118199,4.3377841,opani,329877,5,21791753,2014-04-19T07:32:28Z
44359829,51.9120435,4.2643181,marenko,149298,4,9430789,2011-09-29T20:48:09Z
44360779,51.912126,4.2420444,Sander H,327477,4,31234826,2015-05-17T17:57:19Z
44361797,51.912551,4.2386044,OliverH,5504,4,9359564,2011-09-21T11:26:36Z
44362848,51.9127264,4.3288141,brandmeester,607691,3,28073644,2015-01-11T21:17:00Z
44363368,51.9128109,4.3848,opani,329877,4,22070586,2014-05-01T19:16:06Z
44364300,51.9129795,4.2648636,Sander H,327477,4,42668069,2016-10-05T20:06:40Z
44364867,51.9131843,4.3582694,opani,329877,3,22105795,2014-05-03T14:40:38Z
44365768,51.9134073,4.2386309,Sander H,327477,4,31234826,2015-05-17T17:57:19Z
44366771,51.9134821,4.2047484,Imergis,1794001,4,20300953,2014-01-31T14:54:44Z
44367367,51.9135747,4.3886877,Harte385,1528673,3,17224963,2013-08-05T09:07:43Z
44368914,51.9139,4.2546,AND,12946,2,3437838,2009-12-23T21:14:53Z
44369893,51.9141,4.2535,AND,12946,2,3437838,2009-12-23T21:14:46Z
44370849,51.9142626,4.3112845,eggie,334075,4,15513073,2013-03-27T09:39:52Z
44371845,51.9144351,4.2028387,Imergis,1794001,4,20300953,2014-01-31T14:54:44Z
44372476,51.9145439,4.3311114,Jappie,3087703,4,32941858,2015-07-28T20:33:40Z
44372988,51.9147575,4.3994612,Jeroen Muris,203114,4,13723466,2012-11-02T15:02:31Z
44374114,51.9148107,4.3518588,ThierryP,484893,3,8668739,2011-07-08T19:16:43Z
44375130,51.915024,4.2586412,nimapper,36080,3,10093440,2011-12-11T19:42:02Z
44375853,51.9152,4.3552,AND,12946,2,3437865,2009-12-23T21:18:37Z
44376774,51.9154,4.3334,AND,12946,2,3437865,2009-12-23T21:20:52Z
44377284,51.9154484,4.3578257,CeesW,476789,3,9604475,2011-10-19T22:15:47Z
44378261,51.9156855,4.3461542,emvee,5211,4,16557044,2013-06-14T22:34:27Z
44379243,51.9159067,4.3321644,stroet43,36790,3,10167208,2011-12-20T21:21:39Z
44379780,51.9160516,4.3995094,textlijn,161542,3,4878992,2010-06-01T21:33:26Z
44380700,51.9160526,4.3115249,eggie,334075,5,15513073,2013-03-27T09:37:45Z
44381226,51.9163036,4.3974145,Jeroen Muris,203114,3,14525550,2013-01-04T12:45:15Z
44382209,51.9164234,4.3539541,emvee,5211,3,16557044,2013-06-14T22:34:27Z
44383056,51.9167,4.3431,AND,12946,2,3437865,2009-12-23T21:20:30Z
44383881,51.9169305,4.2564417,de Olfies,285593,3,4657628,2010-05-10T09:56:13Z
44384412,51.9170657,4.3888588,Jeroen Muris,203114,4,12727974,2012-08-14T14:56:59Z
44385603,51.9171685,4.348879,pieleric,352940,3,37282785,2016-02-18T09:04:54Z
44386938,51.9173966,4.3259342,opani,329877,12,26534431,2014-11-03T20:13:40Z
44387488,51.9175385,4.4001021,stroet43,36790,4,10159181,2011-12-19T21:10:13Z
44388388,51.9176223,4.3348127,Sander H,327477,3,41066129,2016-07-27T16:01:46Z
44389235,51.9179206,4.2429778,opani,329877,3,21737818,2014-04-16T20:41:58Z
