id,key,value,type
21702193,barrier,bollard,regular
34046630,name,Zwembad Dol-Fijn,regular
34046630,leisure,sports_centre,regular
44348591,bus,yes,regular
44348591,name,Verploegh Chasseplein,regular
44348591,zone,5329,regular
44348591,highway,bus_stop,regular
44348591,shelter,yes,regular
44348591,operator,RET;Qbuzz;Veolia Transport,regular
44348591,route_ref,126;425;56,regular
44348591,public_transport,stop_position,regular
44360779,access,private,regular
44360779,barrier,gate,regular
44364300,barrier,bollard,regular
44364300,bicycle,yes,regular
44386938,ref,8,regular
44386938,name,Vlaardingen-West,regular
44386938,source,AND,regular
44386938,highway,motorway_junction,regular
44780994,source,AND,regular
44780994,highway,traffic_signals,regular
44824659,source,AND,regular
44824659,traffic_calming,bump,regular
44826470,highway,traffic_signals,regular
44826470,traffic_signals,signal,regular
44829650,source,AND,regular
44829650,highway,traffic_signals,regular
44834700,noexit,yes,regular
203405707,source,extrapolation,regular
203405707,end_date,2013-03,regular
203405707,ref,1,removed
203405707,power,tower,removed
203405707,tower,air_to_ground,removed
203405707,design,donau,removed
250185200,amenity,parking,regular
250185200,created_by,Potlatch 0.7b,regular
250212728,name,Harreweg,regular
250212728,railway,tram_stop,regular
250212728,public_transport,stop_position,regular
311053740,amenity,post_box,regular
311053740,operator,PostNL,regular
322088946,ref,7,regular
322088946,name,Maassluis,regular
322088946,highway,motorway_junction,regular
339252811,created_by,Merkaartor 0.12,regular
339252904,created_by,Merkaartor 0.12,regular
339252985,created_by,Merkaartor 0.12,regular
347702739,highway,traffic_signals,regular
360449536,created_by,Merkaartor 0.12,regular
367667726,amenity,bench,regular
387904183,access,destination,regular
387904183,barrier,gate,regular
393437211,amenity,bench,regular
552445526,city,Delft,addr
552445526,street,Oude Delft,addr
552445526,country,NL,addr
552445526,postcode,2611BD,addr
552445526,housename,Appartementen,addr
552445526,housenumber,91A-X,addr
552445526,interpolation,alphabetic,addr
599513443,height,54,regular
599513443,man_made,antenna,regular
599513443,technology,UMTS,regular
599513443,type,communication,tower
599527423,height,21,regular
599527423,man_made,tower,regular
599527423,technology,UMTS,regular
599527423,type,communication,tower
599543574,height,30,regular
599543574,man_made,antenna,regular
599543574,technology,GSM 1800,regular
599543574,type,communication,tower
599617270,height,22,regular
599617270,man_made,tower,regular
599617270,technology,GSM 1800,regular
599617270,type,communication,tower
691861473,name,'t Hoek,regular
691861473,shop,supermarket,regular
691861473,phone,0703947740,contact
