id,user,uid,version,changeset,timestamp
4310410,vadp,326091,9,40462554,2016-07-03T17:15:58Z
6307379,WJtW,2097920,13,39967905,2016-06-12T10:09:07Z
6336481,textlijn,161542,5,2744225,2009-10-05T00:05:44Z
7468501,A67-A67,553736,10,33168694,2015-08-07T00:13:30Z
7468650,nimapper,36080,3,12599286,2012-08-03T15:01:15Z
7468776,Dutch Mapper,3781654,5,42057200,2016-09-10T11:04:53Z
7478037,pieleric,352940,6,42072042,2016-09-11T06:51:46Z
7482991,It's so funny,191979,11,15624396,2013-04-05T19:44:52Z
7488301,nimapper,36080,8,8603057,2011-07-01T20:57:16Z
7493356,opani,329877,5,26667672,2014-11-09T16:48:04Z
7498910,It's so funny_mechanical,2394881,2,27419615,2014-12-12T11:55:43Z
7501583,It's so funny_mechanical,2394881,2,27419615,2014-12-12T11:55:20Z
7501799,It's so funny_mechanical,2394881,2,27419615,2014-12-12T11:55:23Z
7501946,Commodoortje,1771198,6,40454805,2016-07-03T09:47:00Z
7518302,It's so funny,191979,3,21462119,2014-04-02T17:33:21Z
7518604,pittrichimica,497524,4,42046717,2016-09-09T20:34:57Z
7518875,Frank314,235579,10,42557854,2016-10-01T07:25:46Z
7531775,Maarten Deen,9176,4,40115718,2016-06-18T13:21:04Z
7532598,A67-A67,553736,4,42087151,2016-09-11T20:44:54Z
7532806,It's so funny,191979,4,21462119,2014-04-02T17:21:01Z
7533059,Frank314,235579,9,43008044,2016-10-19T12:58:31Z
7533213,pittrichimica,497524,4,42046351,2016-09-09T20:20:44Z
7533353,It's so funny,191979,3,21462119,2014-04-02T17:25:51Z
7533445,pittrichimica,497524,7,42046351,2016-09-09T20:20:45Z
7533580,It's so funny,191979,4,21462119,2014-04-02T17:21:01Z
7533671,It's so funny,191979,2,21462119,2014-04-02T17:28:10Z
7533753,AnkEric,242798,2,12054705,2012-06-29T09:56:52Z
7533818,It's so funny,191979,3,21462119,2014-04-02T17:31:58Z
7533894,It's so funny,191979,3,21462119,2014-04-02T17:33:15Z
7533964,pittrichimica,497524,5,42046636,2016-09-09T20:31:30Z
7534090,Jeroen Muris,203114,2,12712736,2012-08-13T11:34:46Z
7534182,It's so funny,191979,3,21462119,2014-04-02T17:34:42Z
7534287,opani,329877,3,22070586,2014-05-01T19:04:16Z
7534384,Jeroen Muris,203114,3,12666969,2012-08-09T10:45:33Z
7534502,Jeroen Muris,203114,2,9202278,2011-09-03T17:36:50Z
7534604,It's so funny,191979,3,21462119,2014-04-02T17:29:44Z
7534705,pieleric,352940,3,12598417,2012-08-03T13:40:49Z
7534815,opani,329877,5,22237846,2014-05-09T19:17:56Z
7534898,opani,329877,4,22237846,2014-05-09T19:18:00Z
7534973,It's so funny,191979,4,21465947,2014-04-02T20:55:50Z
7535082,It's so funny,191979,8,21462119,2014-04-02T17:32:08Z
7535195,Jeroen Muris,203114,4,37135706,2016-02-10T22:06:13Z
7535374,Jeroen Muris,203114,3,12645745,2012-08-07T13:50:52Z
7535456,It's so funny,191979,3,21462119,2014-04-02T17:32:00Z
7535519,opani,329877,3,22237846,2014-05-09T19:45:21Z
7535591,It's so funny,191979,3,21462119,2014-04-02T17:21:41Z
7535677,It's so funny,191979,3,21462119,2014-04-02T17:33:00Z
7535752,It's so funny,191979,4,21462119,2014-04-02T17:34:24Z
7535819,It's so funny,191979,3,21462119,2014-04-02T17:31:41Z
7535915,It's so funny,191979,2,21465947,2014-04-02T20:56:24Z
7536049,brandmeester,607691,3,28057624,2015-01-11T09:33:31Z
7536171,It's so funny,191979,2,21465947,2014-04-02T20:58:04Z
7536282,nimapper,36080,3,13293068,2012-09-29T07:34:08Z
7536365,Jappie,3087703,3,32868192,2015-07-25T10:41:23Z
7536474,It's so funny,191979,3,21465947,2014-04-02T20:58:40Z
7536560,Sander H,327477,4,36361354,2016-01-04T14:48:56Z
7536839,It's so funny,191979,9,35793986,2015-12-06T20:22:12Z
7536982,It's so funny,191979,4,11018745,2012-03-18T13:33:28Z
