id,key,value,type
4310410,area,yes,regular
4310410,name,Sint Agathaplein,regular
4310410,highway,pedestrian,regular
6307379,name,Havenspoorlijn Rotterdam,regular
6307379,gauge,1435,regular
6307379,layer,1,regular
6307379,usage,main,regular
6307379,bridge,viaduct,regular
6307379,railway,rail,regular
6307379,voltage,25000,regular
6307379,maxspeed,80,regular
6307379,frequency,50,regular
6307379,electrified,contact_line,regular
6307379,atb,no,railway
6307379,etcs,1,railway
6307379,loading_gauge,GC,regular
6307379,railway:atb-eg,no,regular
6307379,railway:atb-ng,no,regular
6307379,passenger_lines,2,regular
6307379,traffic_mode,freight,railway
6336481,name,Klein Delfgauw,regular
6336481,landuse,residential,regular
7468501,psv,yes,regular
7468501,name,Brasserskade,regular
7468501,access,no,regular
7468501,oneway,yes,regular
7468501,highway,service,regular
7468501,maxspeed,50,regular
7468650,highway,service,regular
7468776,highway,residential,regular
7468776,maxspeed,30,regular
7478037,highway,residential,regular
7478037,name,Zuiderweg,regular
7482991,name,Endehoekseweg,regular
7482991,highway,residential,regular
7488301,hgv,destination,regular
7488301,name,Het Tolland,regular
7488301,highway,tertiary,regular
7488301,maxspeed,30,regular
7493356,ref,N464,regular
7493356,name,Poeldijkseweg,regular
7493356,lanes,2,regular
7493356,bicycle,no,regular
7493356,highway,secondary,regular
7493356,maxspeed,50,regular
7493356,overtaking,no,regular
7493356,maxspeed,sign,source
7498910,name,Van de Graafstraat,regular
7498910,highway,unclassified,regular
7501583,name,Bernardolaan,regular
7501583,highway,unclassified,regular
7501799,name,Dahliastraat,regular
7501799,highway,unclassified,regular
7501946,name,Rijsenburgerweg,regular
7501946,highway,tertiary,regular
7501946,surface,paving_stones,regular
7501946,maxspeed,30,regular
7518302,highway,service,regular
7518604,highway,residential,regular
7518604,name,Zalmstraat,regular
7518604,oneway,yes,regular
7518875,bicycle,no,regular
7518875,highway,secondary,regular
7518875,maxspeed,50,regular
7518875,name,Rotterdamsedijk,regular
7518875,oneway,yes,regular
7518875,surface,asphalt,regular
7531775,name,Cairostraat,regular
7531775,oneway,yes,regular
7531775,highway,residential,regular
7531775,maxspeed,50,regular
7532598,highway,living_street,regular
7532598,name,Schiekade,regular
7532806,name,'s-Gravelandseweg,regular
7532806,oneway,yes,regular
7532806,highway,unclassified,regular
7533059,highway,unclassified,regular
7533059,name,Overschieseweg,regular
7533213,highway,residential,regular
7533213,name,Palmboomstraat,regular
7533353,name,Korte Dam,regular
7533353,bicycle,yes,regular
7533353,highway,pedestrian,regular
7533353,cycleway,no,regular
7533445,highway,residential,regular
7533445,name,Kreupelstraat,regular
7533580,name,'s-Gravelandseweg,regular
7533580,oneway,yes,regular
7533580,highway,unclassified,regular
7533671,name,Populierenlaan,regular
7533671,highway,unclassified,regular
7533753,name,Spannerhof,regular
7533753,highway,unclassified,regular
7533818,highway,cycleway,regular
7533894,highway,service,regular
7533894,service,parking_aisle,regular
7533964,highway,residential,regular
7533964,name,Olivier van Noortstraat,regular
7534090,name,Van Karnebeekstraat,regular
7534090,highway,residential,regular
7534182,highway,footway,regular
